YEAR,China,India,European Union,United States,Indonesia,Pakistan,Nigeria,Brazil,Bangladesh,Russia
2000,1262645000,1059633675,429342455,282162411,214072421,154369924,122851984,175873720,129193327,146596869
2001,1271850000,1078970907,429910140,284968955,217112437,159217727,126152678,178211881,131670484,145976482
2002,1280400000,1098313039,430898141,287625193,220115092,163262807,129583026,180476685,134139826,145306497
2003,1288400000,1117415123,432434810,290107933,223080121,166876680,133119801,182629278,136503206,144648618
2004,1296075000,1136264583,434059923,292805298,225938595,170648620,136756848,184722043,138789725,144067316
2005,1303720000,1154638713,435600393,295516599,228805144,174372098,140490722,186797334,140912590,143518814
2006,1311020000,1172373788,437014860,298379912,231797427,178069984,144329764,188820682,142628831,143049637
2007,1317885000,1189691809,438484072,301231207,234858289,181924521,148294028,190779453,144135934,142805114
2008,1324655000,1206734806,439892213,304093966,237936543,185931955,152382506,192672317,145421318,142742366
2009,1331260000,1223640160,440934530,306771529,240981299,190123222,156595758,194517549,146706810,142785349
2010,1337705000,1240613620,441552554,309327143,244016173,194454498,160952853,196353492,148391139,142849468
2011,1345035000,1257621191,440769682,311583481,247099697,198602738,165463745,198185302,150211005,142960908
2012,1354190000,1274487215,441419873,313877662,250222695,202205861,170075932,199977707,152090649,143201721
2013,1363240000,1291132063,442496175,316059947,253275918,205337562,174726123,201721767,154030139,143506995
2014,1371860000,1307246509,443601373,318386329,256229761,208251628,179379016,203459650,155961299,143819667
2015,1379860000,1322866505,444570054,320738994,259091970,210969298,183995785,205188205,157830000,144096870
2016,1387790000,1338636340,445515422,323071755,261850182,213524840,188666931,206859578,159784568,144342397
2017,1396215000,1354195680,446215182,325122128,264498852,216379655,193495907,208504960,161793964,144496739
2018,1402760000,1369003306,447001100,326838199,267066843,219731479,198387623,210166592,163683958,144477859
2019,1407745000,1383112050,447367191,328329953,269582878,223293280,203304492,211782878,165516222,144406261
2020,1411100000,1396387127,447692315,331501080,271857970,227196741,208327405,213196304,167420951,144073139
2021,1412360000,1407563842,447199800,331893745,273753191,231402117,213401323,214326223,169356251,143449286
